2022-02-13T14:33:13.104814200
2022-02-13T14:36:53.638335300
 3:27:3902/13/2022 PM Feed Money 2.0 02022-02-13T15:27:39.566700100
02/13/2022 3:28:14 PM Feed Money 2.0 02022-02-13T15:28:14.067890500
02/13/2022 3:28:18 PM Feed Money 4.0 02022-02-13T15:28:18.875391700
02/13/2022 3:36:46 PM Feed Money 2.0 02022-02-13T15:36:46.914563600
02/13/2022 3:42:50 PM Feed Money 5.0 02022-02-13T15:42:50.137676400
02/13/2022 3:48:22 PM Feed Money 5.0 02022-02-13T15:48:22.635411100
02/13/2022 4:38:17 PM Feed Money 10.0 02022-02-13T16:38:17.758207300
02/13/2022 4:38:21 PM StackersA2 8.55 8.552022-02-13T16:38:21.137201500
02/13/2022 4:38:24 PM Make Change 0 8.552022-02-13T16:38:24.008094700
02/13/2022 4:39:33 PM Feed Money 5.0 02022-02-13T16:39:33.272582300
02/13/2022 4:39:36 PM StackersA2 3.55 3.552022-02-13T16:39:36.820596900
02/13/2022 4:39:40 PM Make Change 0 3.552022-02-13T16:39:40.307976800
02/13/2022 11:26:41 PM Feed Money 10.0 02022-02-13T23:26:41.177575
02/13/2022 11:26:44 PM Potato CrispsA1 6.95 6.952022-02-13T23:26:44.719130800
02/13/2022 11:26:49 PM Potato CrispsA1 3.90 3.902022-02-13T23:26:49.796073900
02/13/2022 11:26:53 PM Feed Money 13.9 3.902022-02-13T23:26:53.638960
02/13/2022 11:26:55 PM Feed Money 23.9 3.902022-02-13T23:26:55.950884100
02/13/2022 11:26:58 PM Potato CrispsA1 20.85 20.852022-02-13T23:26:58.637756
02/13/2022 11:27:01 PM Potato CrispsA1 17.80 17.802022-02-13T23:27:01.855754200
02/13/2022 11:27:05 PM Potato CrispsA1 14.75 14.752022-02-13T23:27:05.089376
02/13/2022 11:27:08 PM Potato CrispsA1 11.70 11.702022-02-13T23:27:08.651047100
02/13/2022 11:27:14 PM Potato CrispsA1 8.65 8.652022-02-13T23:27:14.368477300
02/13/2022 11:27:17 PM Potato CrispsA1 5.60 5.602022-02-13T23:27:17.820819
02/13/2022 11:37:26 PM Feed Money 10.0 02022-02-13T23:37:26.915961900
02/13/2022 11:37:28 PM Feed Money 20.0 02022-02-13T23:37:28.774940900
02/13/2022 11:37:31 PM Potato CrispsA1 16.95 16.952022-02-13T23:37:31.368551100
02/13/2022 11:37:34 PM Potato CrispsA1 13.90 13.902022-02-13T23:37:34.336807800
02/13/2022 11:37:36 PM Potato CrispsA1 10.85 10.852022-02-13T23:37:36.570507200
02/13/2022 11:37:38 PM Potato CrispsA1 7.80 7.802022-02-13T23:37:38.664156300
02/13/2022 11:37:41 PM Potato CrispsA1 4.75 4.752022-02-13T23:37:41.335689900
02/13/2022 11:38:08 PM StackersA2 3.30 3.302022-02-13T23:38:08.055441700
02/13/2022 11:38:10 PM Make Change 0 3.302022-02-13T23:38:10.883849900
02/13/2022 11:48:10 PM Feed Money 5.0 02022-02-13T23:48:10.555839
02/13/2022 11:48:17 PM Wonka BarB3 3.5 3.52022-02-13T23:48:17.638938400
02/13/2022 11:48:22 PM Make Change 0 3.52022-02-13T23:48:22.479442300
02/13/2022 11:57:18 PM Feed Money 10.0 02022-02-13T23:57:18.304259100
02/13/2022 11:57:21 PM StackersA2 8.55 8.552022-02-13T23:57:21.420106900
02/13/2022 11:57:25 PM Make Change 0 8.552022-02-13T23:57:25.611274600
02/13/2022 11:57:35 PM Make Change 0 02022-02-13T23:57:35.945326500
02/14/2022 12:43:23 AM Feed Money 5.0 02022-02-14T00:43:23.527444100
02/14/2022 12:44:39 AM Feed Money 5.0 02022-02-14T00:44:39.827658600
02/14/2022 12:45:32 AM Feed Money 5.0 02022-02-14T00:45:32.927179600
02/14/2022 12:47:02 AM Feed Money 10.0 02022-02-14T00:47:02.378534200
02/14/2022 12:47:47 AM Feed Money 10.0 02022-02-14T00:47:47.090718300
02/14/2022 12:48:58 AM Feed Money 10.0 02022-02-14T00:48:58.316880600
02/14/2022 12:50:33 AM Feed Money 10.0 02022-02-14T00:50:33.126139200
02/14/2022 12:52:57 AM Feed Money 2.0 02022-02-14T00:52:57.941964900
02/14/2022 12:56:10 AM Feed Money 10.0 02022-02-14T00:56:10.341488100
02/14/2022 1:06:03 AM Feed Money 5.0 02022-02-14T01:06:03.270899500
02/14/2022 1:14:15 AM Feed Money 10.0 02022-02-14T01:14:15.721817700
02/14/2022 1:27:23 AM Feed Money 10.0 02022-02-14T01:27:23.923425900
02/14/2022 1:27:25 AM Potato CrispsA1 6.95 6.952022-02-14T01:27:25.610531700
02/14/2022 1:27:31 AM Make Change 0 6.952022-02-14T01:27:31.718482
02/14/2022 1:28:13 AM Feed Money 10.0 02022-02-14T01:28:13.150992900
02/14/2022 1:29:03 AM Feed Money 5.0 02022-02-14T01:29:03.901236
02/14/2022 1:29:09 AM Make Change 0 02022-02-14T01:29:09.154368900
02/14/2022 1:29:43 AM Feed Money 5.0 02022-02-14T01:29:43.363675500
02/14/2022 1:29:46 AM Grain WavesA3 2.25 2.252022-02-14T01:29:46.430571700
02/14/2022 1:29:48 AM Make Change 0 2.252022-02-14T01:29:48.571029700
02/14/2022 1:45:42 AM Feed Money 10.0 02022-02-14T01:45:42.932449300
02/14/2022 1:47:04 AM Feed Money 10.0 02022-02-14T01:47:04.854672600
02/14/2022 1:47:11 AM StackersA2 8.55 8.552022-02-14T01:47:11.290662600
